"cell.type","nt1","soma.loc","wa.lin","wa.des","expression","gene"
"ADA","Glutamate (Glu)","Head","AB plapaaaapp","Ring interneuron",93.73,"avr-14"
"ADA","Glutamate (Glu)","Head","AB plapaaaapp","Ring interneuron",117.988,"avr-15"
"ADA","Glutamate (Glu)","Head","AB plapaaaapp","Ring interneuron",99.946,"glc-4"
"ADA","Glutamate (Glu)","Head","AB plapaaaapp","Ring interneuron",147.133,"unc-9"
"ADA","Glutamate (Glu)","Head","AB plapaaaapp","Ring interneuron",105.039,"ben-1"
"ADA","Glutamate (Glu)","Head","AB plapaaaapp","Ring interneuron",93.141,"tbb-1"
"ADA","Glutamate (Glu)","Head","AB plapaaaapp","Ring interneuron",269.513,"tbb-2"
"ADE","Dopamine (DA)","Head","AB plapaaaapa","Anterior deirid, sensory neuron",108.734,"avr-14"
"ADE","Dopamine (DA)","Head","AB plapaaaapa","Anterior deirid, sensory neuron",35.847,"glc-3"
"ADE","Dopamine (DA)","Head","AB plapaaaapa","Anterior deirid, sensory neuron",15.518,"glc-4"
"ADE","Dopamine (DA)","Head","AB plapaaaapa","Anterior deirid, sensory neuron",114.355,"unc-7"
"ADE","Dopamine (DA)","Head","AB plapaaaapa","Anterior deirid, sensory neuron",82.635,"unc-9"
"ADE","Dopamine (DA)","Head","AB plapaaaapa","Anterior deirid, sensory neuron",388.301,"ben-1"
"ADE","Dopamine (DA)","Head","AB plapaaaapa","Anterior deirid, sensory neuron",89.712,"tbb-1"
"ADE","Dopamine (DA)","Head","AB plapaaaapa","Anterior deirid, sensory neuron",1889.814,"tbb-2"
"ADE","Dopamine (DA)","Head","AB plapaaaapa","Anterior deirid, sensory neuron",101.14,"tbb-4"
"ADE","Dopamine (DA)","Head","AB plapaaaapa","Anterior deirid, sensory neuron",58.035,"tbb-6"
"ADF","Acetylcholine (ACh)","Head","AB alpppppaa","Amphid neuron",64.586,"avr-14"
"ADF","Acetylcholine (ACh)","Head","AB alpppppaa","Amphid neuron",7.155,"glc-4"
"ADF","Acetylcholine (ACh)","Head","AB alpppppaa","Amphid neuron",61.829,"tbb-1"
"ADF","Acetylcholine (ACh)","Head","AB alpppppaa","Amphid neuron",276.717,"tbb-2"
"ADF","Acetylcholine (ACh)","Head","AB alpppppaa","Amphid neuron",168.005,"tbb-4"
"ADL","Glutamate (Glu)","Head","AB alppppaad","Amphid neuron",22.812,"avr-14"
"ADL","Glutamate (Glu)","Head","AB alppppaad","Amphid neuron",3.571,"glc-4"
"ADL","Glutamate (Glu)","Head","AB alppppaad","Amphid neuron",18.57,"unc-7"
"ADL","Glutamate (Glu)","Head","AB alppppaad","Amphid neuron",98.807,"tbb-1"
"ADL","Glutamate (Glu)","Head","AB alppppaad","Amphid neuron",224.35,"tbb-2"
"ADL","Glutamate (Glu)","Head","AB alppppaad","Amphid neuron",113.266,"tbb-4"
"ADL","Glutamate (Glu)","Head","AB alppppaad","Amphid neuron",63.21,"tbb-6"
"AFD","Glutamate (Glu)","Head","AB alpppapav","Amphid finger cell",228.485,"avr-15"
"AFD","Glutamate (Glu)","Head","AB alpppapav","Amphid finger cell",28.265,"glc-4"
"AFD","Glutamate (Glu)","Head","AB alpppapav","Amphid finger cell",70.076,"tbb-1"
"AFD","Glutamate (Glu)","Head","AB alpppapav","Amphid finger cell",322.097,"tbb-2"
"AIA","Acetylcholine (ACh)","Head","AB plppaappa","Amphid interneuron",98.811,"avr-14"
"AIA","Acetylcholine (ACh)","Head","AB plppaappa","Amphid interneuron",108.588,"avr-15"
"AIA","Acetylcholine (ACh)","Head","AB plppaappa","Amphid interneuron",968.449,"glc-3"
"AIA","Acetylcholine (ACh)","Head","AB plppaappa","Amphid interneuron",157.099,"glc-4"
"AIA","Acetylcholine (ACh)","Head","AB plppaappa","Amphid interneuron",110.168,"unc-9"
"AIA","Acetylcholine (ACh)","Head","AB plppaappa","Amphid interneuron",194.764,"tbb-1"
"AIA","Acetylcholine (ACh)","Head","AB plppaappa","Amphid interneuron",341.752,"tbb-2"
"AIB","Glutamate (Glu)","Head","AB plaapappa","Amphid interneuron",29.003,"avr-14"
"AIB","Glutamate (Glu)","Head","AB plaapappa","Amphid interneuron",62.275,"glc-2"
"AIB","Glutamate (Glu)","Head","AB plaapappa","Amphid interneuron",18.838,"glc-4"
"AIB","Glutamate (Glu)","Head","AB plaapappa","Amphid interneuron",26.275,"unc-7"
"AIB","Glutamate (Glu)","Head","AB plaapappa","Amphid interneuron",52.516,"unc-9"
"AIB","Glutamate (Glu)","Head","AB plaapappa","Amphid interneuron",76.845,"ben-1"
"AIB","Glutamate (Glu)","Head","AB plaapappa","Amphid interneuron",121.626,"tbb-1"
"AIB","Glutamate (Glu)","Head","AB plaapappa","Amphid interneuron",238.58,"tbb-2"
"AIM","Serotonin / 5HT","Head","AB plpaapppa","Ring interneuron",86.378,"avr-14"
"AIM","Serotonin / 5HT","Head","AB plpaapppa","Ring interneuron",17.272,"avr-15"
"AIM","Serotonin / 5HT","Head","AB plpaapppa","Ring interneuron",8.421,"glc-2"
"AIM","Serotonin / 5HT","Head","AB plpaapppa","Ring interneuron",84.127,"glc-4"
"AIM","Serotonin / 5HT","Head","AB plpaapppa","Ring interneuron",39.729,"unc-9"
"AIM","Serotonin / 5HT","Head","AB plpaapppa","Ring interneuron",89.763,"ben-1"
"AIM","Serotonin / 5HT","Head","AB plpaapppa","Ring interneuron",96.229,"tbb-1"
"AIM","Serotonin / 5HT","Head","AB plpaapppa","Ring interneuron",288.632,"tbb-2"
"AIM","Serotonin / 5HT","Head","AB plpaapppa","Ring interneuron",274.526,"mec-7"
"AIN","Acetylcholine (ACh)","Head","AB alaaaalal","Ring interneuron",25.093,"avr-14"
"AIN","Acetylcholine (ACh)","Head","AB alaaaalal","Ring interneuron",122.298,"glc-4"
"AIN","Acetylcholine (ACh)","Head","AB alaaaalal","Ring interneuron",135.845,"unc-9"
"AIN","Acetylcholine (ACh)","Head","AB alaaaalal","Ring interneuron",64.156,"ben-1"
"AIN","Acetylcholine (ACh)","Head","AB alaaaalal","Ring interneuron",116.011,"tbb-1"
"AIN","Acetylcholine (ACh)","Head","AB alaaaalal","Ring interneuron",285.009,"tbb-2"
"AIY","Acetylcholine (ACh)","Head","AB plpapaaap","Amphid interneuron",37.748,"avr-14"
"AIY","Acetylcholine (ACh)","Head","AB plpapaaap","Amphid interneuron",300.467,"glc-3"
"AIY","Acetylcholine (ACh)","Head","AB plpapaaap","Amphid interneuron",14.505,"glc-4"
"AIY","Acetylcholine (ACh)","Head","AB plpapaaap","Amphid interneuron",14.639,"unc-9"
"AIY","Acetylcholine (ACh)","Head","AB plpapaaap","Amphid interneuron",60.61,"tbb-1"
"AIY","Acetylcholine (ACh)","Head","AB plpapaaap","Amphid interneuron",196.063,"tbb-2"
"AIZ","Glutamate (Glu)","Head","AB plapaaapav","Amphid interneuron",109.035,"avr-14"
"AIZ","Glutamate (Glu)","Head","AB plapaaapav","Amphid interneuron",12.413,"glc-2"
"AIZ","Glutamate (Glu)","Head","AB plapaaapav","Amphid interneuron",30.708,"glc-4"
"AIZ","Glutamate (Glu)","Head","AB plapaaapav","Amphid interneuron",370.249,"unc-7"
"AIZ","Glutamate (Glu)","Head","AB plapaaapav","Amphid interneuron",62.417,"unc-9"
"AIZ","Glutamate (Glu)","Head","AB plapaaapav","Amphid interneuron",213.891,"ben-1"
"AIZ","Glutamate (Glu)","Head","AB plapaaapav","Amphid interneuron",248.872,"tbb-1"
"AIZ","Glutamate (Glu)","Head","AB plapaaapav","Amphid interneuron",771.988,"tbb-2"
"ALA","Unknown","Head","AB alapppaaa","Neuron, sends processes laterally and along dorsal cord",22.793,"avr-14"
"ALA","Unknown","Head","AB alapppaaa","Neuron, sends processes laterally and along dorsal cord",98.656,"unc-9"
"ALA","Unknown","Head","AB alapppaaa","Neuron, sends processes laterally and along dorsal cord",354.621,"ben-1"
"ALA","Unknown","Head","AB alapppaaa","Neuron, sends processes laterally and along dorsal cord",110.541,"tbb-1"
"ALA","Unknown","Head","AB alapppaaa","Neuron, sends processes laterally and along dorsal cord",1131.599,"tbb-2"
"ALA","Unknown","Head","AB alapppaaa","Neuron, sends processes laterally and along dorsal cord",399.847,"mec-7"
"ALM","Glutamate (Glu)","Body wall","AB arppaappa","Anterior lateral microtubule cell",45.451,"avr-14"
"ALM","Glutamate (Glu)","Body wall","AB arppaappa","Anterior lateral microtubule cell",4.08,"glc-4"
"ALM","Glutamate (Glu)","Body wall","AB arppaappa","Anterior lateral microtubule cell",45.868,"unc-7"
"ALM","Glutamate (Glu)","Body wall","AB arppaappa","Anterior lateral microtubule cell",69.551,"unc-9"
"ALM","Glutamate (Glu)","Body wall","AB arppaappa","Anterior lateral microtubule cell",176.821,"ben-1"
"ALM","Glutamate (Glu)","Body wall","AB arppaappa","Anterior lateral microtubule cell",54.007,"tbb-1"
"ALM","Glutamate (Glu)","Body wall","AB arppaappa","Anterior lateral microtubule cell",554.152,"tbb-2"
"ALM","Glutamate (Glu)","Body wall","AB arppaappa","Anterior lateral microtubule cell",135940.8,"mec-7"
"ALN","Acetylcholine (ACh)","Tail","AB plapappppap","Neuron associated with ALM",117.904,"tbb-2"
"ALN","Acetylcholine (ACh)","Tail","AB plapappppap","Neuron associated with ALM",704.791,"mec-7"
"AQR","Glutamate (Glu)","Head","QR.ap","Neuron, basal body. not part of a sensillum, projects into ring",46.617,"avr-14"
"AQR","Glutamate (Glu)","Head","QR.ap","Neuron, basal body. not part of a sensillum, projects into ring",14.643,"glc-4"
"AQR","Glutamate (Glu)","Head","QR.ap","Neuron, basal body. not part of a sensillum, projects into ring",42.817,"unc-9"
"AQR","Glutamate (Glu)","Head","QR.ap","Neuron, basal body. not part of a sensillum, projects into ring",52.093,"ben-1"
"AQR","Glutamate (Glu)","Head","QR.ap","Neuron, basal body. not part of a sensillum, projects into ring",105.221,"tbb-1"
"AQR","Glutamate (Glu)","Head","QR.ap","Neuron, basal body. not part of a sensillum, projects into ring",721.547,"tbb-2"
"AQR","Glutamate (Glu)","Head","QR.ap","Neuron, basal body. not part of a sensillum, projects into ring",159.947,"tbb-4"
"AQR","Glutamate (Glu)","Head","QR.ap","Neuron, basal body. not part of a sensillum, projects into ring",92.722,"tbb-6"
"AS","Acetylcholine (ACh)","Head - RVG","P1.apa","Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",81.989,"avr-14"
"AS","Acetylcholine (ACh)","Head - RVG","P1.apa","Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",38.944,"avr-15"
"AS","Acetylcholine (ACh)","Head - RVG","P1.apa","Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",140.804,"unc-7"
"AS","Acetylcholine (ACh)","Head - RVG","P1.apa","Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",361.47,"unc-9"
"AS","Acetylcholine (ACh)","Head - RVG","P1.apa","Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",490.33,"ben-1"
"AS","Acetylcholine (ACh)","Head - RVG","P1.apa","Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",207.174,"tbb-1"
"AS","Acetylcholine (ACh)","Head - RVG","P1.apa","Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",1632.105,"tbb-2"
"ASG","Glutamate (Glu)","Head","AB plaapapap","Amphid neurons, single ciliated endings",24.614,"avr-14"
"ASG","Glutamate (Glu)","Head","AB plaapapap","Amphid neurons, single ciliated endings",14.479,"glc-4"
"ASG","Glutamate (Glu)","Head","AB plaapapap","Amphid neurons, single ciliated endings",18.806,"unc-7"
"ASG","Glutamate (Glu)","Head","AB plaapapap","Amphid neurons, single ciliated endings",33.721,"ben-1"
"ASG","Glutamate (Glu)","Head","AB plaapapap","Amphid neurons, single ciliated endings",136.768,"tbb-1"
"ASG","Glutamate (Glu)","Head","AB plaapapap","Amphid neurons, single ciliated endings",623.192,"tbb-2"
"ASG","Glutamate (Glu)","Head","AB plaapapap","Amphid neurons, single ciliated endings",172.273,"tbb-4"
"ASG","Glutamate (Glu)","Head","AB plaapapap","Amphid neurons, single ciliated endings",15.96,"tbb-6"
"ASH","Glutamate (Glu)","Head","AB plpaappaa","Amphid neurons, single ciliated endings",29.839,"avr-14"
"ASH","Glutamate (Glu)","Head","AB plpaappaa","Amphid neurons, single ciliated endings",70.051,"tbb-1"
"ASH","Glutamate (Glu)","Head","AB plpaappaa","Amphid neurons, single ciliated endings",249.47,"tbb-2"
"ASH","Glutamate (Glu)","Head","AB plpaappaa","Amphid neurons, single ciliated endings",49.959,"tbb-4"
"ASH","Glutamate (Glu)","Head","AB plpaappaa","Amphid neurons, single ciliated endings",21.136,"tbb-6"
"ASI","Unknown","Head","AB plaapapppa","Amphid neurons, single ciliated endings",14.389,"avr-14"
"ASI","Unknown","Head","AB plaapapppa","Amphid neurons, single ciliated endings",6.215,"glc-4"
"ASI","Unknown","Head","AB plaapapppa","Amphid neurons, single ciliated endings",14.177,"unc-7"
"ASI","Unknown","Head","AB plaapapppa","Amphid neurons, single ciliated endings",20.888,"ben-1"
"ASI","Unknown","Head","AB plaapapppa","Amphid neurons, single ciliated endings",104.22,"tbb-1"
"ASI","Unknown","Head","AB plaapapppa","Amphid neurons, single ciliated endings",309.824,"tbb-2"
"ASI","Unknown","Head","AB plaapapppa","Amphid neurons, single ciliated endings",150.616,"tbb-4"
"ASI","Unknown","Head","AB plaapapppa","Amphid neurons, single ciliated endings",46.979,"tbb-6"
"ASJ","Acetylcholine (ACh)","Head","AB alpppppppa","Amphid neurons, single ciliated endings",38.122,"glc-2"
"ASJ","Acetylcholine (ACh)","Head","AB alpppppppa","Amphid neurons, single ciliated endings",25.09,"glc-4"
"ASJ","Acetylcholine (ACh)","Head","AB alpppppppa","Amphid neurons, single ciliated endings",89.813,"tbb-1"
"ASJ","Acetylcholine (ACh)","Head","AB alpppppppa","Amphid neurons, single ciliated endings",159.486,"tbb-2"
"ASJ","Acetylcholine (ACh)","Head","AB alpppppppa","Amphid neurons, single ciliated endings",102.699,"tbb-4"
"ASJ","Acetylcholine (ACh)","Head","AB alpppppppa","Amphid neurons, single ciliated endings",20.153,"tbb-6"
"ASK","Glutamate (Glu)","Head","AB alpppapppa","Amphid neurons, single ciliated endings",30.484,"avr-14"
"ASK","Glutamate (Glu)","Head","AB alpppapppa","Amphid neurons, single ciliated endings",56.698,"avr-15"
"ASK","Glutamate (Glu)","Head","AB alpppapppa","Amphid neurons, single ciliated endings",30.628,"unc-7"
"ASK","Glutamate (Glu)","Head","AB alpppapppa","Amphid neurons, single ciliated endings",79.354,"tbb-1"
"ASK","Glutamate (Glu)","Head","AB alpppapppa","Amphid neurons, single ciliated endings",244.499,"tbb-2"
"ASK","Glutamate (Glu)","Head","AB alpppapppa","Amphid neurons, single ciliated endings",114.421,"tbb-4"
"ASK","Glutamate (Glu)","Head","AB alpppapppa","Amphid neurons, single ciliated endings",48.782,"tbb-6"
"AUA","Glutamate (Glu)","Head","AB alpppppppp","Neuron, process runs with amphid processes but lacks ciliated ending",86.356,"avr-14"
"AUA","Glutamate (Glu)","Head","AB alpppppppp","Neuron, process runs with amphid processes but lacks ciliated ending",55.816,"glc-4"
"AUA","Glutamate (Glu)","Head","AB alpppppppp","Neuron, process runs with amphid processes but lacks ciliated ending",23.649,"unc-7"
"AUA","Glutamate (Glu)","Head","AB alpppppppp","Neuron, process runs with amphid processes but lacks ciliated ending",85.46,"unc-9"
"AUA","Glutamate (Glu)","Head","AB alpppppppp","Neuron, process runs with amphid processes but lacks ciliated ending",84.864,"tbb-1"
"AUA","Glutamate (Glu)","Head","AB alpppppppp","Neuron, process runs with amphid processes but lacks ciliated ending",307.454,"tbb-2"
"AUA","Glutamate (Glu)","Head","AB alpppppppp","Neuron, process runs with amphid processes but lacks ciliated ending",186.606,"mec-7"
"AVA","Acetylcholine (ACh)","Head - Lateral G","AB alppaaapa","Ventral cord interneuron",156.663,"avr-14"
"AVA","Acetylcholine (ACh)","Head - Lateral G","AB alppaaapa","Ventral cord interneuron",274.971,"glc-4"
"AVA","Acetylcholine (ACh)","Head - Lateral G","AB alppaaapa","Ventral cord interneuron",159.494,"unc-7"
"AVA","Acetylcholine (ACh)","Head - Lateral G","AB alppaaapa","Ventral cord interneuron",114.824,"unc-9"
"AVA","Acetylcholine (ACh)","Head - Lateral G","AB alppaaapa","Ventral cord interneuron",324.377,"ben-1"
"AVA","Acetylcholine (ACh)","Head - Lateral G","AB alppaaapa","Ventral cord interneuron",127.06,"tbb-1"
"AVA","Acetylcholine (ACh)","Head - Lateral G","AB alppaaapa","Ventral cord interneuron",1899.399,"tbb-2"
"AVB","Acetylcholine (ACh)","Head - Lateral G","AB plpaapaap","Ventral cord interneuron",166.258,"avr-14"
"AVB","Acetylcholine (ACh)","Head - Lateral G","AB plpaapaap","Ventral cord interneuron",0.754,"glc-1"
"AVB","Acetylcholine (ACh)","Head - Lateral G","AB plpaapaap","Ventral cord interneuron",92.357,"glc-4"
"AVB","Acetylcholine (ACh)","Head - Lateral G","AB plpaapaap","Ventral cord interneuron",82.198,"unc-7"
"AVB","Acetylcholine (ACh)","Head - Lateral G","AB plpaapaap","Ventral cord interneuron",23.936,"unc-9"
"AVB","Acetylcholine (ACh)","Head - Lateral G","AB plpaapaap","Ventral cord interneuron",262.906,"ben-1"
"AVB","Acetylcholine (ACh)","Head - Lateral G","AB plpaapaap","Ventral cord interneuron",76.881,"tbb-1"
"AVB","Acetylcholine (ACh)","Head - Lateral G","AB plpaapaap","Ventral cord interneuron",1289.328,"tbb-2"
"AVD","Acetylcholine (ACh)","Head","AB alaaapalr","Ventral cord interneuron",96.062,"avr-14"
"AVD","Acetylcholine (ACh)","Head","AB alaaapalr","Ventral cord interneuron",47.826,"glc-3"
"AVD","Acetylcholine (ACh)","Head","AB alaaapalr","Ventral cord interneuron",139.168,"glc-4"
"AVD","Acetylcholine (ACh)","Head","AB alaaapalr","Ventral cord interneuron",55.401,"unc-7"
"AVD","Acetylcholine (ACh)","Head","AB alaaapalr","Ventral cord interneuron",200.761,"unc-9"
"AVD","Acetylcholine (ACh)","Head","AB alaaapalr","Ventral cord interneuron",1056.26,"ben-1"
"AVD","Acetylcholine (ACh)","Head","AB alaaapalr","Ventral cord interneuron",144.764,"tbb-1"
"AVD","Acetylcholine (ACh)","Head","AB alaaapalr","Ventral cord interneuron",2130.594,"tbb-2"
"AVD","Acetylcholine (ACh)","Head","AB alaaapalr","Ventral cord interneuron",74.614,"tbb-6"
"AVE","Acetylcholine (ACh)","Head","AB alpppaaaa","Ventral cord interneuron, like AVD but outputs restricted to anterior cord",43.734,"avr-14"
"AVE","Acetylcholine (ACh)","Head","AB alpppaaaa","Ventral cord interneuron, like AVD but outputs restricted to anterior cord",73.995,"unc-7"
"AVE","Acetylcholine (ACh)","Head","AB alpppaaaa","Ventral cord interneuron, like AVD but outputs restricted to anterior cord",131.889,"unc-9"
"AVE","Acetylcholine (ACh)","Head","AB alpppaaaa","Ventral cord interneuron, like AVD but outputs restricted to anterior cord",114.85,"ben-1"
"AVE","Acetylcholine (ACh)","Head","AB alpppaaaa","Ventral cord interneuron, like AVD but outputs restricted to anterior cord",131.753,"tbb-1"
"AVE","Acetylcholine (ACh)","Head","AB alpppaaaa","Ventral cord interneuron, like AVD but outputs restricted to anterior cord",841.354,"tbb-2"
"AVF","Unknown","Head - RVG","P1.aaaa/ W.aaa","Interneuron",58.75,"avr-14"
"AVF","Unknown","Head - RVG","P1.aaaa/ W.aaa","Interneuron",29.983,"glc-4"
"AVF","Unknown","Head - RVG","P1.aaaa/ W.aaa","Interneuron",90.472,"unc-9"
"AVF","Unknown","Head - RVG","P1.aaaa/ W.aaa","Interneuron",555.248,"ben-1"
"AVF","Unknown","Head - RVG","P1.aaaa/ W.aaa","Interneuron",36.839,"tbb-1"
"AVF","Unknown","Head - RVG","P1.aaaa/ W.aaa","Interneuron",941.317,"tbb-2"
"AVF","Unknown","Head - RVG","P1.aaaa/ W.aaa","Interneuron",6020.883,"mec-7"
"AVG","Acetylcholine (ACh)","Head","AB prpapppap","Ventral cord interneuron",92.924,"unc-7"
"AVG","Acetylcholine (ACh)","Head","AB prpapppap","Ventral cord interneuron",66.31,"unc-9"
"AVG","Acetylcholine (ACh)","Head","AB prpapppap","Ventral cord interneuron",492.341,"ben-1"
"AVG","Acetylcholine (ACh)","Head","AB prpapppap","Ventral cord interneuron",105.214,"tbb-1"
"AVG","Acetylcholine (ACh)","Head","AB prpapppap","Ventral cord interneuron",1586.135,"tbb-2"
"AVH","Unknown","Head","AB alapaaaaa","Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring",28.616,"avr-14"
"AVH","Unknown","Head","AB alapaaaaa","Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring",2.326,"glc-1"
"AVH","Unknown","Head","AB alapaaaaa","Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring",6.044,"glc-4"
"AVH","Unknown","Head","AB alapaaaaa","Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring",30.114,"unc-7"
"AVH","Unknown","Head","AB alapaaaaa","Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring",92.467,"unc-9"
"AVH","Unknown","Head","AB alapaaaaa","Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring",163.16,"ben-1"
"AVH","Unknown","Head","AB alapaaaaa","Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring",129.689,"tbb-1"
"AVH","Unknown","Head","AB alapaaaaa","Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring",750.876,"tbb-2"
"AVH","Unknown","Head","AB alapaaaaa","Neuron, mainly postsynaptic in ventral cord and presynaptic in the ring",2039.065,"mec-7"
"AVJ","Unknown","Head - Lateral G","AB alapapppa","Neuron, synapses like AVHL/R",64.937,"avr-14"
"AVJ","Unknown","Head - Lateral G","AB alapapppa","Neuron, synapses like AVHL/R",60.37,"glc-4"
"AVJ","Unknown","Head - Lateral G","AB alapapppa","Neuron, synapses like AVHL/R",31.367,"unc-7"
"AVJ","Unknown","Head - Lateral G","AB alapapppa","Neuron, synapses like AVHL/R",119.495,"unc-9"
"AVJ","Unknown","Head - Lateral G","AB alapapppa","Neuron, synapses like AVHL/R",597.511,"ben-1"
"AVJ","Unknown","Head - Lateral G","AB alapapppa","Neuron, synapses like AVHL/R",128.71,"tbb-1"
"AVJ","Unknown","Head - Lateral G","AB alapapppa","Neuron, synapses like AVHL/R",1339.588,"tbb-2"
"AVJ","Unknown","Head - Lateral G","AB alapapppa","Neuron, synapses like AVHL/R",33.041,"tbb-6"
"AVJ","Unknown","Head - Lateral G","AB alapapppa","Neuron, synapses like AVHL/R",844.408,"mec-7"
"AVK","Unknown","Head","AB plpapapap","Ring and ventral cord interneuron",36.082,"avr-14"
"AVK","Unknown","Head","AB plpapapap","Ring and ventral cord interneuron",41.307,"unc-7"
"AVK","Unknown","Head","AB plpapapap","Ring and ventral cord interneuron",235.065,"ben-1"
"AVK","Unknown","Head","AB plpapapap","Ring and ventral cord interneuron",37.313,"tbb-1"
"AVK","Unknown","Head","AB plpapapap","Ring and ventral cord interneuron",545.085,"tbb-2"
"AVL","GABA","Head","AB prpappaap","Ring and ventral cord interneuron and an excitatory GABAergic motor neuron for rectal muscles. Few synapses",14.338,"avr-14"
"AVL","GABA","Head","AB prpappaap","Ring and ventral cord interneuron and an excitatory GABAergic motor neuron for rectal muscles. Few synapses",308.246,"avr-15"
"AVL","GABA","Head","AB prpappaap","Ring and ventral cord interneuron and an excitatory GABAergic motor neuron for rectal muscles. Few synapses",116.306,"glc-4"
"AVL","GABA","Head","AB prpappaap","Ring and ventral cord interneuron and an excitatory GABAergic motor neuron for rectal muscles. Few synapses",267.632,"ben-1"
"AVL","GABA","Head","AB prpappaap","Ring and ventral cord interneuron and an excitatory GABAergic motor neuron for rectal muscles. Few synapses",114.707,"tbb-1"
"AVL","GABA","Head","AB prpappaap","Ring and ventral cord interneuron and an excitatory GABAergic motor neuron for rectal muscles. Few synapses",787.478,"tbb-2"
"AVL","GABA","Head","AB prpappaap","Ring and ventral cord interneuron and an excitatory GABAergic motor neuron for rectal muscles. Few synapses",1161.956,"mec-7"
"AVM","Glutamate (Glu)","Body wall"," QR.paa","Anterior ventral microtubule cell, touch receptor",44.344,"avr-14"
"AVM","Glutamate (Glu)","Body wall"," QR.paa","Anterior ventral microtubule cell, touch receptor",24.985,"unc-7"
"AVM","Glutamate (Glu)","Body wall"," QR.paa","Anterior ventral microtubule cell, touch receptor",241.617,"unc-9"
"AVM","Glutamate (Glu)","Body wall"," QR.paa","Anterior ventral microtubule cell, touch receptor",81.306,"ben-1"
"AVM","Glutamate (Glu)","Body wall"," QR.paa","Anterior ventral microtubule cell, touch receptor",71.209,"tbb-1"
"AVM","Glutamate (Glu)","Body wall"," QR.paa","Anterior ventral microtubule cell, touch receptor",344.233,"tbb-2"
