"cell.type","nt1","soma.loc","wa.lin","wa.des","expression","gene"
"AVM","Glutamate (Glu)","Body wall"," QR.paa","Anterior ventral microtubule cell, touch receptor",66448.02,"mec-7"
"AWA","Unknown","Head","AB plaapapaa","Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",6.651,"avr-14"
"AWA","Unknown","Head","AB plaapapaa","Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",40.736,"glc-1"
"AWA","Unknown","Head","AB plaapapaa","Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",12.622,"glc-4"
"AWA","Unknown","Head","AB plaapapaa","Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",7.895,"unc-7"
"AWA","Unknown","Head","AB plaapapaa","Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",19.578,"unc-9"
"AWA","Unknown","Head","AB plaapapaa","Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",48.52,"tbb-1"
"AWA","Unknown","Head","AB plaapapaa","Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",321.975,"tbb-2"
"AWA","Unknown","Head","AB plaapapaa","Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",38.109,"tbb-4"
"AWB","Acetylcholine (ACh)","Head","AB alpppppap","Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",47.636,"avr-14"
"AWB","Acetylcholine (ACh)","Head","AB alpppppap","Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",140.295,"tbb-1"
"AWB","Acetylcholine (ACh)","Head","AB alpppppap","Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",240.814,"tbb-2"
"AWB","Acetylcholine (ACh)","Head","AB alpppppap","Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",167.894,"tbb-4"
"BAG","Glutamate (Glu)","Head","AB alppappap","Neuron, ciliated ending in head, no supporting cells, associated with ILso",16.178,"avr-14"
"BAG","Glutamate (Glu)","Head","AB alppappap","Neuron, ciliated ending in head, no supporting cells, associated with ILso",67.199,"avr-15"
"BAG","Glutamate (Glu)","Head","AB alppappap","Neuron, ciliated ending in head, no supporting cells, associated with ILso",33.93,"glc-3"
"BAG","Glutamate (Glu)","Head","AB alppappap","Neuron, ciliated ending in head, no supporting cells, associated with ILso",27.79,"glc-4"
"BAG","Glutamate (Glu)","Head","AB alppappap","Neuron, ciliated ending in head, no supporting cells, associated with ILso",104.224,"tbb-1"
"BAG","Glutamate (Glu)","Head","AB alppappap","Neuron, ciliated ending in head, no supporting cells, associated with ILso",196.435,"tbb-2"
"BAG","Glutamate (Glu)","Head","AB alppappap","Neuron, ciliated ending in head, no supporting cells, associated with ILso",79.976,"tbb-4"
"BDU","Unknown","Body wall","AB arppaappp","Neuron, process runs along excretory canal and into ring, unique darkly staining synaptic vesicles",108.263,"glc-2"
"BDU","Unknown","Body wall","AB arppaappp","Neuron, process runs along excretory canal and into ring, unique darkly staining synaptic vesicles",115.716,"glc-3"
"BDU","Unknown","Body wall","AB arppaappp","Neuron, process runs along excretory canal and into ring, unique darkly staining synaptic vesicles",46.582,"unc-7"
"BDU","Unknown","Body wall","AB arppaappp","Neuron, process runs along excretory canal and into ring, unique darkly staining synaptic vesicles",106.391,"unc-9"
"BDU","Unknown","Body wall","AB arppaappp","Neuron, process runs along excretory canal and into ring, unique darkly staining synaptic vesicles",540.72,"ben-1"
"BDU","Unknown","Body wall","AB arppaappp","Neuron, process runs along excretory canal and into ring, unique darkly staining synaptic vesicles",193.794,"tbb-1"
"BDU","Unknown","Body wall","AB arppaappp","Neuron, process runs along excretory canal and into ring, unique darkly staining synaptic vesicles",1183.248,"tbb-2"
"BDU","Unknown","Body wall","AB arppaappp","Neuron, process runs along excretory canal and into ring, unique darkly staining synaptic vesicles",1725.1,"mec-7"
"CAN","unknown monamine* ","Body wall","AB alapaaapa","Process runs along excretory canal, no synapses, essential for survival",43.921,"avr-15"
"CAN","unknown monamine* ","Body wall","AB alapaaapa","Process runs along excretory canal, no synapses, essential for survival",70.916,"glc-3"
"CAN","unknown monamine* ","Body wall","AB alapaaapa","Process runs along excretory canal, no synapses, essential for survival",80.3,"ben-1"
"CAN","unknown monamine* ","Body wall","AB alapaaapa","Process runs along excretory canal, no synapses, essential for survival",308.931,"tbb-1"
"CAN","unknown monamine* ","Body wall","AB alapaaapa","Process runs along excretory canal, no synapses, essential for survival",1261.368,"tbb-2"
"CEP","Dopamine (DA)","Head","AB plaaaaappa","Cephalic neurons, contain dopamine",34.071,"avr-14"
"CEP","Dopamine (DA)","Head","AB plaaaaappa","Cephalic neurons, contain dopamine",33.908,"glc-3"
"CEP","Dopamine (DA)","Head","AB plaaaaappa","Cephalic neurons, contain dopamine",40.639,"glc-4"
"CEP","Dopamine (DA)","Head","AB plaaaaappa","Cephalic neurons, contain dopamine",42.068,"unc-7"
"CEP","Dopamine (DA)","Head","AB plaaaaappa","Cephalic neurons, contain dopamine",115.836,"unc-9"
"CEP","Dopamine (DA)","Head","AB plaaaaappa","Cephalic neurons, contain dopamine",565.46,"ben-1"
"CEP","Dopamine (DA)","Head","AB plaaaaappa","Cephalic neurons, contain dopamine",187.556,"tbb-1"
"CEP","Dopamine (DA)","Head","AB plaaaaappa","Cephalic neurons, contain dopamine",1910.819,"tbb-2"
"CEP","Dopamine (DA)","Head","AB plaaaaappa","Cephalic neurons, contain dopamine",1094.47,"tbb-4"
"CEP","Dopamine (DA)","Head","AB plaaaaappa","Cephalic neurons, contain dopamine",202.05,"tbb-6"
"DA","Acetylcholine (ACh)","Head - RVG","AB prppapaap","Ventral cord motor neurons, innervate dorsal muscles",99.05,"avr-14"
"DA","Acetylcholine (ACh)","Head - RVG","AB prppapaap","Ventral cord motor neurons, innervate dorsal muscles",175.179,"unc-7"
"DA","Acetylcholine (ACh)","Head - RVG","AB prppapaap","Ventral cord motor neurons, innervate dorsal muscles",454.498,"unc-9"
"DA","Acetylcholine (ACh)","Head - RVG","AB prppapaap","Ventral cord motor neurons, innervate dorsal muscles",862.996,"ben-1"
"DA","Acetylcholine (ACh)","Head - RVG","AB prppapaap","Ventral cord motor neurons, innervate dorsal muscles",267.013,"tbb-1"
"DA","Acetylcholine (ACh)","Head - RVG","AB prppapaap","Ventral cord motor neurons, innervate dorsal muscles",3518.987,"tbb-2"
"DB","Acetylcholine (ACh)","Head - RVG","AB plpaaaapp","Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",58.774,"avr-14"
"DB","Acetylcholine (ACh)","Head - RVG","AB plpaaaapp","Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",120.387,"unc-7"
"DB","Acetylcholine (ACh)","Head - RVG","AB plpaaaapp","Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",405.729,"unc-9"
"DB","Acetylcholine (ACh)","Head - RVG","AB plpaaaapp","Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",647.421,"ben-1"
"DB","Acetylcholine (ACh)","Head - RVG","AB plpaaaapp","Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",187.25,"tbb-1"
"DB","Acetylcholine (ACh)","Head - RVG","AB plpaaaapp","Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",3530.213,"tbb-2"
"DVA","Acetylcholine (ACh)","Tail - PAG","AB prppppapp","Ring interneurons, cell bodies in dorsorectal ganglion",99.906,"avr-15"
"DVA","Acetylcholine (ACh)","Tail - PAG","AB prppppapp","Ring interneurons, cell bodies in dorsorectal ganglion",281.993,"ben-1"
"DVA","Acetylcholine (ACh)","Tail - PAG","AB prppppapp","Ring interneurons, cell bodies in dorsorectal ganglion",71.951,"tbb-1"
"DVA","Acetylcholine (ACh)","Tail - PAG","AB prppppapp","Ring interneurons, cell bodies in dorsorectal ganglion",1182.859,"tbb-2"
"DVB","GABA","Tail - Dorsorectal G","K.p","An excitatory GABAergic motor neuron/interneuron located in dorso-rectal ganglion. Innervates rectal muscles",48.233,"avr-14"
"DVB","GABA","Tail - Dorsorectal G","K.p","An excitatory GABAergic motor neuron/interneuron located in dorso-rectal ganglion. Innervates rectal muscles",25.683,"unc-7"
"DVB","GABA","Tail - Dorsorectal G","K.p","An excitatory GABAergic motor neuron/interneuron located in dorso-rectal ganglion. Innervates rectal muscles",21.639,"unc-9"
"DVB","GABA","Tail - Dorsorectal G","K.p","An excitatory GABAergic motor neuron/interneuron located in dorso-rectal ganglion. Innervates rectal muscles",117.63,"ben-1"
"DVB","GABA","Tail - Dorsorectal G","K.p","An excitatory GABAergic motor neuron/interneuron located in dorso-rectal ganglion. Innervates rectal muscles",401.955,"tbb-1"
"DVB","GABA","Tail - Dorsorectal G","K.p","An excitatory GABAergic motor neuron/interneuron located in dorso-rectal ganglion. Innervates rectal muscles",995.223,"tbb-2"
"DVC","Glutamate (Glu)","Tail - Dorsorectal G","C aapaa","Ring interneurons, cell bodies in dorsorectal ganglion",30.575,"avr-14"
"DVC","Glutamate (Glu)","Tail - Dorsorectal G","C aapaa","Ring interneurons, cell bodies in dorsorectal ganglion",20.306,"glc-4"
"DVC","Glutamate (Glu)","Tail - Dorsorectal G","C aapaa","Ring interneurons, cell bodies in dorsorectal ganglion",43.797,"unc-7"
"DVC","Glutamate (Glu)","Tail - Dorsorectal G","C aapaa","Ring interneurons, cell bodies in dorsorectal ganglion",76.215,"unc-9"
"DVC","Glutamate (Glu)","Tail - Dorsorectal G","C aapaa","Ring interneurons, cell bodies in dorsorectal ganglion",171.198,"ben-1"
"DVC","Glutamate (Glu)","Tail - Dorsorectal G","C aapaa","Ring interneurons, cell bodies in dorsorectal ganglion",56.324,"tbb-1"
"DVC","Glutamate (Glu)","Tail - Dorsorectal G","C aapaa","Ring interneurons, cell bodies in dorsorectal ganglion",1345.35,"tbb-2"
"FLP","Glutamate (Glu)","Head","AB plapaaapad","Neuron, ciliated ending in head, no supporting cells, associated with ILso",184.374,"avr-14"
"FLP","Glutamate (Glu)","Head","AB plapaaapad","Neuron, ciliated ending in head, no supporting cells, associated with ILso",14.117,"glc-4"
"FLP","Glutamate (Glu)","Head","AB plapaaapad","Neuron, ciliated ending in head, no supporting cells, associated with ILso",82.932,"unc-7"
"FLP","Glutamate (Glu)","Head","AB plapaaapad","Neuron, ciliated ending in head, no supporting cells, associated with ILso",153.403,"unc-9"
"FLP","Glutamate (Glu)","Head","AB plapaaapad","Neuron, ciliated ending in head, no supporting cells, associated with ILso",651.239,"ben-1"
"FLP","Glutamate (Glu)","Head","AB plapaaapad","Neuron, ciliated ending in head, no supporting cells, associated with ILso",184.642,"tbb-1"
"FLP","Glutamate (Glu)","Head","AB plapaaapad","Neuron, ciliated ending in head, no supporting cells, associated with ILso",2889.298,"tbb-2"
"FLP","Glutamate (Glu)","Head","AB plapaaapad","Neuron, ciliated ending in head, no supporting cells, associated with ILso",5562.644,"mec-7"
"HSN","Acetylcholine (ACh)","Body wall","AB plapppappa","Hermaphrodite specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic",11.469,"avr-14"
"HSN","Acetylcholine (ACh)","Body wall","AB plapppappa","Hermaphrodite specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic",287.21,"avr-15"
"HSN","Acetylcholine (ACh)","Body wall","AB plapppappa","Hermaphrodite specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic",19.363,"glc-2"
"HSN","Acetylcholine (ACh)","Body wall","AB plapppappa","Hermaphrodite specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic",19.753,"glc-3"
"HSN","Acetylcholine (ACh)","Body wall","AB plapppappa","Hermaphrodite specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic",60.063,"unc-7"
"HSN","Acetylcholine (ACh)","Body wall","AB plapppappa","Hermaphrodite specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic",94.604,"unc-9"
"HSN","Acetylcholine (ACh)","Body wall","AB plapppappa","Hermaphrodite specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic",860.634,"ben-1"
"HSN","Acetylcholine (ACh)","Body wall","AB plapppappa","Hermaphrodite specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic",292.538,"tbb-1"
"HSN","Acetylcholine (ACh)","Body wall","AB plapppappa","Hermaphrodite specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic",2313.24,"tbb-2"
"HSN","Acetylcholine (ACh)","Body wall","AB plapppappa","Hermaphrodite specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic",2476.537,"mec-7"
"I1","Acetylcholine (ACh)","Pharynx","AB alpapppaa","Pharyngeal interneurons: ant sensory, input from RIP",95.768,"avr-14"
"I1","Acetylcholine (ACh)","Pharynx","AB alpapppaa","Pharyngeal interneurons: ant sensory, input from RIP",470.935,"avr-15"
"I1","Acetylcholine (ACh)","Pharynx","AB alpapppaa","Pharyngeal interneurons: ant sensory, input from RIP",26.439,"glc-2"
"I1","Acetylcholine (ACh)","Pharynx","AB alpapppaa","Pharyngeal interneurons: ant sensory, input from RIP",6.459,"glc-4"
"I1","Acetylcholine (ACh)","Pharynx","AB alpapppaa","Pharyngeal interneurons: ant sensory, input from RIP",171.215,"unc-7"
"I1","Acetylcholine (ACh)","Pharynx","AB alpapppaa","Pharyngeal interneurons: ant sensory, input from RIP",197.098,"unc-9"
"I1","Acetylcholine (ACh)","Pharynx","AB alpapppaa","Pharyngeal interneurons: ant sensory, input from RIP",376.415,"ben-1"
"I1","Acetylcholine (ACh)","Pharynx","AB alpapppaa","Pharyngeal interneurons: ant sensory, input from RIP",232.527,"tbb-1"
"I1","Acetylcholine (ACh)","Pharynx","AB alpapppaa","Pharyngeal interneurons: ant sensory, input from RIP",849.357,"tbb-2"
"I1","Acetylcholine (ACh)","Pharynx","AB alpapppaa","Pharyngeal interneurons: ant sensory, input from RIP",510.507,"mec-7"
"I2","Glutamate (Glu)","Pharynx","AB alpappaapa","Pharyngeal interneurons, ant sensory",75.943,"avr-14"
"I2","Glutamate (Glu)","Pharynx","AB alpappaapa","Pharyngeal interneurons, ant sensory",224.806,"glc-4"
"I2","Glutamate (Glu)","Pharynx","AB alpappaapa","Pharyngeal interneurons, ant sensory",230.536,"unc-9"
"I2","Glutamate (Glu)","Pharynx","AB alpappaapa","Pharyngeal interneurons, ant sensory",77.436,"ben-1"
"I2","Glutamate (Glu)","Pharynx","AB alpappaapa","Pharyngeal interneurons, ant sensory",336.961,"tbb-1"
"I2","Glutamate (Glu)","Pharynx","AB alpappaapa","Pharyngeal interneurons, ant sensory",1318.161,"tbb-2"
"I3","Acetylcholine (ACh)","Pharynx","MS aaaaapaa","Pharyngeal interneuron, ant sensory",33.882,"avr-14"
"I3","Acetylcholine (ACh)","Pharynx","MS aaaaapaa","Pharyngeal interneuron, ant sensory",128.025,"glc-2"
"I3","Acetylcholine (ACh)","Pharynx","MS aaaaapaa","Pharyngeal interneuron, ant sensory",8.056,"unc-7"
"I3","Acetylcholine (ACh)","Pharynx","MS aaaaapaa","Pharyngeal interneuron, ant sensory",8.056,"unc-9"
"I3","Acetylcholine (ACh)","Pharynx","MS aaaaapaa","Pharyngeal interneuron, ant sensory",361.115,"ben-1"
"I3","Acetylcholine (ACh)","Pharynx","MS aaaaapaa","Pharyngeal interneuron, ant sensory",247.015,"tbb-1"
"I3","Acetylcholine (ACh)","Pharynx","MS aaaaapaa","Pharyngeal interneuron, ant sensory",1203.111,"tbb-2"
"I3","Acetylcholine (ACh)","Pharynx","MS aaaaapaa","Pharyngeal interneuron, ant sensory",33.609,"tbb-6"
"I4","Unknown","Pharynx","MS aaaapaa","Pharyngeal interneuron",90.017,"avr-14"
"I4","Unknown","Pharynx","MS aaaapaa","Pharyngeal interneuron",68.055,"glc-4"
"I4","Unknown","Pharynx","MS aaaapaa","Pharyngeal interneuron",402.922,"unc-7"
"I4","Unknown","Pharynx","MS aaaapaa","Pharyngeal interneuron",232.515,"unc-9"
"I4","Unknown","Pharynx","MS aaaapaa","Pharyngeal interneuron",461.389,"ben-1"
"I4","Unknown","Pharynx","MS aaaapaa","Pharyngeal interneuron",328.215,"tbb-1"
"I4","Unknown","Pharynx","MS aaaapaa","Pharyngeal interneuron",2191.138,"tbb-2"
"I4","Unknown","Pharynx","MS aaaapaa","Pharyngeal interneuron",47.374,"tbb-6"
"I5","Glutamate (Glu)","Pharynx","AB arapapapp","Pharyngeal interneuron, post sensory",119.923,"avr-14"
"I5","Glutamate (Glu)","Pharynx","AB arapapapp","Pharyngeal interneuron, post sensory",92.299,"glc-4"
"I5","Glutamate (Glu)","Pharynx","AB arapapapp","Pharyngeal interneuron, post sensory",43.332,"unc-7"
"I5","Glutamate (Glu)","Pharynx","AB arapapapp","Pharyngeal interneuron, post sensory",51.167,"unc-9"
"I5","Glutamate (Glu)","Pharynx","AB arapapapp","Pharyngeal interneuron, post sensory",247.323,"ben-1"
"I5","Glutamate (Glu)","Pharynx","AB arapapapp","Pharyngeal interneuron, post sensory",162.459,"tbb-1"
"I5","Glutamate (Glu)","Pharynx","AB arapapapp","Pharyngeal interneuron, post sensory",705.772,"tbb-2"
"I6","Unknown","Pharynx","MS paaapaa","Pharyngeal interneuron, post sensory",36.828,"glc-4"
"I6","Unknown","Pharynx","MS paaapaa","Pharyngeal interneuron, post sensory",77.685,"unc-9"
"I6","Unknown","Pharynx","MS paaapaa","Pharyngeal interneuron, post sensory",231.095,"tbb-1"
"I6","Unknown","Pharynx","MS paaapaa","Pharyngeal interneuron, post sensory",432.184,"tbb-2"
"IL1","Glutamate (Glu)","Head","AB alapappaaa","Inner labial neuron",510.02,"avr-14"
"IL1","Glutamate (Glu)","Head","AB alapappaaa","Inner labial neuron",115.311,"avr-15"
"IL1","Glutamate (Glu)","Head","AB alapappaaa","Inner labial neuron",45.619,"unc-7"
"IL1","Glutamate (Glu)","Head","AB alapappaaa","Inner labial neuron",243.135,"unc-9"
"IL1","Glutamate (Glu)","Head","AB alapappaaa","Inner labial neuron",138.137,"ben-1"
"IL1","Glutamate (Glu)","Head","AB alapappaaa","Inner labial neuron",149.295,"tbb-1"
"IL1","Glutamate (Glu)","Head","AB alapappaaa","Inner labial neuron",742.974,"tbb-2"
"IL1","Glutamate (Glu)","Head","AB alapappaaa","Inner labial neuron",822.961,"tbb-4"
"LUA","Glutamate (Glu)","Tail - Lumbar G","AB plpppaapap","Interneuron, short process in post ventral cord",115.362,"avr-14"
"LUA","Glutamate (Glu)","Tail - Lumbar G","AB plpppaapap","Interneuron, short process in post ventral cord",20.168,"glc-4"
"LUA","Glutamate (Glu)","Tail - Lumbar G","AB plpppaapap","Interneuron, short process in post ventral cord",54.567,"unc-7"
"LUA","Glutamate (Glu)","Tail - Lumbar G","AB plpppaapap","Interneuron, short process in post ventral cord",261.46,"unc-9"
"LUA","Glutamate (Glu)","Tail - Lumbar G","AB plpppaapap","Interneuron, short process in post ventral cord",141.525,"ben-1"
"LUA","Glutamate (Glu)","Tail - Lumbar G","AB plpppaapap","Interneuron, short process in post ventral cord",105.259,"tbb-1"
"LUA","Glutamate (Glu)","Tail - Lumbar G","AB plpppaapap","Interneuron, short process in post ventral cord",1032.764,"tbb-2"
"M1","Acetylcholine (ACh)","Pharynx","MS paapaaa","Pharyngeal motorneuron",29.402,"avr-14"
"M1","Acetylcholine (ACh)","Pharynx","MS paapaaa","Pharyngeal motorneuron",160.3,"unc-7"
"M1","Acetylcholine (ACh)","Pharynx","MS paapaaa","Pharyngeal motorneuron",140.997,"unc-9"
"M1","Acetylcholine (ACh)","Pharynx","MS paapaaa","Pharyngeal motorneuron",98.483,"ben-1"
"M1","Acetylcholine (ACh)","Pharynx","MS paapaaa","Pharyngeal motorneuron",98.076,"tbb-1"
"M1","Acetylcholine (ACh)","Pharynx","MS paapaaa","Pharyngeal motorneuron",741.825,"tbb-2"
"M2","Acetylcholine (ACh)","Pharynx","AB araapappa","Pharyngeal motorneurons",106.88,"avr-14"
"M2","Acetylcholine (ACh)","Pharynx","AB araapappa","Pharyngeal motorneurons",337.415,"avr-15"
"M2","Acetylcholine (ACh)","Pharynx","AB araapappa","Pharyngeal motorneurons",57.163,"glc-4"
"M2","Acetylcholine (ACh)","Pharynx","AB araapappa","Pharyngeal motorneurons",227.559,"unc-7"
"M2","Acetylcholine (ACh)","Pharynx","AB araapappa","Pharyngeal motorneurons",122.646,"unc-9"
"M2","Acetylcholine (ACh)","Pharynx","AB araapappa","Pharyngeal motorneurons",169.679,"ben-1"
"M2","Acetylcholine (ACh)","Pharynx","AB araapappa","Pharyngeal motorneurons",234.784,"tbb-1"
"M2","Acetylcholine (ACh)","Pharynx","AB araapappa","Pharyngeal motorneurons",1035.89,"tbb-2"
"M3","Glutamate (Glu)","Pharynx","AB araapappp","Pharyngeal sensory-motorneurons",39.41,"avr-14"
"M3","Glutamate (Glu)","Pharynx","AB araapappp","Pharyngeal sensory-motorneurons",36.954,"unc-7"
"M3","Glutamate (Glu)","Pharynx","AB araapappp","Pharyngeal sensory-motorneurons",30.291,"unc-9"
"M3","Glutamate (Glu)","Pharynx","AB araapappp","Pharyngeal sensory-motorneurons",55.57,"ben-1"
"M3","Glutamate (Glu)","Pharynx","AB araapappp","Pharyngeal sensory-motorneurons",142.401,"tbb-1"
"M3","Glutamate (Glu)","Pharynx","AB araapappp","Pharyngeal sensory-motorneurons",1262.311,"tbb-2"
"M4","Acetylcholine (ACh)","Pharynx","MS paaaaaa","Pharyngeal motorneuron",51.568,"avr-14"
"M4","Acetylcholine (ACh)","Pharynx","MS paaaaaa","Pharyngeal motorneuron",49.427,"avr-15"
"M4","Acetylcholine (ACh)","Pharynx","MS paaaaaa","Pharyngeal motorneuron",30.292,"glc-2"
"M4","Acetylcholine (ACh)","Pharynx","MS paaaaaa","Pharyngeal motorneuron",40.611,"glc-3"
"M4","Acetylcholine (ACh)","Pharynx","MS paaaaaa","Pharyngeal motorneuron",30.292,"unc-9"
"M4","Acetylcholine (ACh)","Pharynx","MS paaaaaa","Pharyngeal motorneuron",90.876,"tbb-1"
"M4","Acetylcholine (ACh)","Pharynx","MS paaaaaa","Pharyngeal motorneuron",992.032,"tbb-2"
"M5","Acetylcholine (ACh)","Pharynx","MS paaapap","Pharyngeal motorneuron",55.241,"avr-14"
"M5","Acetylcholine (ACh)","Pharynx","MS paaapap","Pharyngeal motorneuron",29.77,"glc-4"
"M5","Acetylcholine (ACh)","Pharynx","MS paaapap","Pharyngeal motorneuron",83.596,"unc-7"
"M5","Acetylcholine (ACh)","Pharynx","MS paaapap","Pharyngeal motorneuron",178.847,"unc-9"
"M5","Acetylcholine (ACh)","Pharynx","MS paaapap","Pharyngeal motorneuron",113.23,"ben-1"
"M5","Acetylcholine (ACh)","Pharynx","MS paaapap","Pharyngeal motorneuron",226.01,"tbb-1"
"M5","Acetylcholine (ACh)","Pharynx","MS paaapap","Pharyngeal motorneuron",1112.394,"tbb-2"
"MC","Acetylcholine (ACh)","Pharynx","AB alpaaappp","Pharyngeal neurons that synapse onto marginal cells",15.028,"avr-14"
"MC","Acetylcholine (ACh)","Pharynx","AB alpaaappp","Pharyngeal neurons that synapse onto marginal cells",38.488,"glc-2"
"MC","Acetylcholine (ACh)","Pharynx","AB alpaaappp","Pharyngeal neurons that synapse onto marginal cells",527.038,"unc-9"
"MC","Acetylcholine (ACh)","Pharynx","AB alpaaappp","Pharyngeal neurons that synapse onto marginal cells",224.368,"tbb-1"
"MC","Acetylcholine (ACh)","Pharynx","AB alpaaappp","Pharyngeal neurons that synapse onto marginal cells",1372.722,"tbb-2"
"MC","Acetylcholine (ACh)","Pharynx","AB alpaaappp","Pharyngeal neurons that synapse onto marginal cells",9.793,"tbb-6"
"MI","Glutamate (Glu)","Pharynx","AB araappaaa","Pharyngeal motor neuron/interneuron",120.839,"unc-7"
"MI","Glutamate (Glu)","Pharynx","AB araappaaa","Pharyngeal motor neuron/interneuron",27.398,"unc-9"
"MI","Glutamate (Glu)","Pharynx","AB araappaaa","Pharyngeal motor neuron/interneuron",91.008,"ben-1"
"MI","Glutamate (Glu)","Pharynx","AB araappaaa","Pharyngeal motor neuron/interneuron",158.699,"tbb-1"
