"strain","condition","generation","mean","sd","mean_percent","sd_percent"
"ECA2687","DMSO",1,0.0575170672083902,0.0299410888317872,5.75170672083902,2.99410888317872
"ECA2687","DMSO",3,0.0146197385668566,0.0182980053181541,1.46197385668566,1.82980053181541
"ECA2687","DMSO",5,0.0028432413035331,0.0032502613867074,0.28432413035331,0.32502613867074
"ECA2687","DMSO",7,0.000572087322623587,0.000624202203424237,0.0572087322623587,0.0624202203424237
"ECA2687","Ivermectin",1,0.135667845698398,0.226219243910162,13.5667845698398,22.6219243910162
"ECA2687","Ivermectin",3,0.902159506377135,0.29114229384927,90.2159506377135,29.114229384927
"ECA2687","Ivermectin",5,0.967746304982752,0.10152187465721,96.7746304982752,10.152187465721
"ECA2687","Ivermectin",7,0.998433280378411,0.00513698729073678,99.8433280378411,0.513698729073678
"ECA2688","DMSO",1,0.357077407098842,0.135157386441225,35.7077407098842,13.5157386441225
"ECA2688","DMSO",3,0.341314774820434,0.158165385620717,34.1314774820434,15.8165385620717
"ECA2688","DMSO",5,0.209467113567673,0.170385749324711,20.9467113567673,17.0385749324711
"ECA2688","DMSO",7,0.0613944587139628,0.0697634377215535,6.13944587139628,6.97634377215535
"ECA2688","Ivermectin",1,0.355250155655323,0.0770481484941058,35.5250155655323,7.70481484941058
"ECA2688","Ivermectin",3,0.0148737573415503,0.035614461742546,1.48737573415503,3.5614461742546
"ECA2688","Ivermectin",5,0.000254684663186989,0.000335613147870974,0.0254684663186989,0.0335613147870974
"ECA2688","Ivermectin",7,0,0,0,0
"ECA2689","DMSO",1,0.0567372193416138,0.0341594054340131,5.67372193416138,3.41594054340132
"ECA2689","DMSO",3,0.00610858926943115,0.00334195673769715,0.610858926943115,0.334195673769715
"ECA2689","DMSO",5,0.00401134232531622,0.00436977063620907,0.401134232531622,0.436977063620907
"ECA2689","DMSO",7,0.0017907674100456,0.00215626360068064,0.17907674100456,0.215626360068064
"ECA2689","Ivermectin",1,0.0593349132224134,0.038974777099611,5.93349132224134,3.8974777099611
"ECA2689","Ivermectin",3,0.00351615266010234,0.00247826989094609,0.351615266010234,0.247826989094609
"ECA2689","Ivermectin",5,0.00521101156301429,0.0131443385035915,0.521101156301429,1.31443385035915
"ECA2689","Ivermectin",7,0.00107671259786216,0.00112522858391979,0.107671259786216,0.112522858391979
"ECA2690","DMSO",1,0.0483053086001896,0.0307535965317233,4.83053086001896,3.07535965317233
"ECA2690","DMSO",3,0.0115122147611094,0.0138489639138631,1.15122147611094,1.38489639138631
"ECA2690","DMSO",5,0.00181045354527753,0.00255986643076206,0.181045354527753,0.255986643076206
"ECA2690","DMSO",7,0.000707961550238956,0.000660702021304039,0.0707961550238956,0.0660702021304039
"ECA2690","Ivermectin",1,0.0565286309034707,0.0320312615609907,5.65286309034707,3.20312615609907
"ECA2690","Ivermectin",3,0.99492763823349,0.00589155695874143,99.492763823349,0.589155695874143
"ECA2690","Ivermectin",5,0.999791359038454,0.000331296273234333,99.9791359038454,0.0331296273234333
"ECA2690","Ivermectin",7,1,0,100,0
"ECA882","DMSO",1,0.40930322436145,0.0683504102754212,40.930322436145,6.83504102754212
"ECA882","DMSO",3,0.440170060357436,0.0677950849949509,44.0170060357436,6.77950849949509
"ECA882","DMSO",5,0.400731429920088,0.112529343618369,40.0731429920088,11.2529343618369
"ECA882","DMSO",7,0.433830183804913,0.132433336523169,43.3830183804913,13.2433336523169
"ECA882","Ivermectin",1,0.436887961718008,0.111771575514164,43.6887961718008,11.1771575514164
"ECA882","Ivermectin",3,0.355703544072828,0.225847904791605,35.5703544072828,22.5847904791605
"ECA882","Ivermectin",5,0.322509684697588,0.266219530152896,32.2509684697588,26.6219530152896
"ECA882","Ivermectin",7,0.489687619373275,0.297183613467242,48.9687619373275,29.7183613467242
"N2","DMSO",1,0.488442838556377,0.119850389644219,48.8442838556377,11.9850389644219
"N2","DMSO",3,0.498829052304036,0.165589878876438,49.8829052304036,16.5589878876438
"N2","DMSO",5,0.520765723232906,0.173428922155464,52.0765723232906,17.3428922155464
"N2","DMSO",7,0.523052890535188,0.177335583292395,52.3052890535188,17.7335583292395
"N2","Ivermectin",1,0.479379911491105,0.122738827055951,47.9379911491105,12.2738827055951
"N2","Ivermectin",3,0.542490408473306,0.263437149890972,54.2490408473306,26.3437149890972
"N2","Ivermectin",5,0.543149532395187,0.303475268913059,54.3149532395187,30.3475268913059
"N2","Ivermectin",7,0.580169639406886,0.258150914566449,58.0169639406886,25.8150914566449
"PHX2481","DMSO",1,0.466357000401527,0.0717973412713455,46.6357000401527,7.17973412713455
"PHX2481","DMSO",3,0.392859803553891,0.140399537997779,39.2859803553891,14.0399537997779
"PHX2481","DMSO",5,0.391759111093092,0.186549312706088,39.1759111093092,18.6549312706088
"PHX2481","DMSO",7,0.354698679749794,0.220547878051219,35.4698679749794,22.0547878051219
"PHX2481","Ivermectin",1,0.418021701363426,0.13307357448883,41.8021701363426,13.307357448883
"PHX2481","Ivermectin",3,0.314490722755554,0.0963288848213398,31.4490722755554,9.63288848213398
"PHX2481","Ivermectin",5,0.141266136788395,0.127531503164414,14.1266136788395,12.7531503164413
"PHX2481","Ivermectin",7,0.159646188702536,0.259640778886081,15.9646188702536,25.9640778886081
"PHX2502","DMSO",1,0.0610776173432757,0.0303822179002497,6.10776173432757,3.03822179002497
"PHX2502","DMSO",3,0.00829064913766083,0.00801626012903358,0.829064913766083,0.801626012903358
"PHX2502","DMSO",5,0.00274567093312257,0.00223476107110351,0.274567093312257,0.223476107110351
"PHX2502","DMSO",7,0.00230078105309451,0.00333234755791007,0.230078105309451,0.333234755791007
"PHX2502","Ivermectin",1,0.0593785338335381,0.0257213660847403,5.93785338335381,2.57213660847403
"PHX2502","Ivermectin",3,0.00404593404280292,0.0047770325229861,0.404593404280292,0.47770325229861
"PHX2502","Ivermectin",5,0.00210190065890244,0.00414244331451642,0.210190065890244,0.414244331451642
"PHX2502","Ivermectin",7,0.00159896377643821,0.00178896510001746,0.159896377643821,0.178896510001746
"PHX2647","DMSO",1,0.394836578395356,0.132860414405003,39.4836578395356,13.2860414405003
"PHX2647","DMSO",3,0.377369382085068,0.129636743804135,37.7369382085068,12.9636743804135
"PHX2647","DMSO",5,0.278215851181879,0.13627304788265,27.8215851181879,13.627304788265
"PHX2647","DMSO",7,0.178217391002698,0.0748914177193962,17.8217391002698,7.48914177193962
"PHX2647","Ivermectin",1,0.359009472701086,0.134138600454411,35.9009472701086,13.4138600454411
"PHX2647","Ivermectin",3,0.0145321475264644,0.0366113961763988,1.45321475264644,3.66113961763988
"PHX2647","Ivermectin",5,0.000602215867938351,0.000532156429130417,0.0602215867938351,0.0532156429130417
"PHX2647","Ivermectin",7,0.000542286904300325,0.00109176153790721,0.0542286904300325,0.109176153790721
