strain,condition,generation,replicate,allele_freq
PHX2647,DMSO,1,1,0.258084577
PHX2647,IVM,1,1,0.163330665
PHX2647,DMSO,3,1,0.486486486
PHX2647,IVM,3,1,0.000310824
PHX2647,DMSO,5,1,0.432015699
PHX2647,IVM,5,1,0
PHX2647,DMSO,7,1,0.177134792
PHX2647,IVM,7,1,0
PHX2647,DMSO,1,2,0.238600516
PHX2647,IVM,1,2,0.232522796
PHX2647,DMSO,3,2,0.297340639
PHX2647,IVM,3,2,0.118402741
PHX2647,DMSO,5,2,0.076238882
PHX2647,IVM,5,2,0.001010101
PHX2647,DMSO,7,2,0.037231253
PHX2647,IVM,7,2,0.000319224
PHX2647,DMSO,1,3,0.344589938
PHX2647,IVM,1,3,0.237155963
PHX2647,DMSO,3,3,NULL
PHX2647,IVM,3,3,0.009544641
PHX2647,DMSO,5,3,0.222999223
PHX2647,IVM,5,3,0.00079739
PHX2647,DMSO,7,3,0.150062267
PHX2647,IVM,7,3,0.000645911
PHX2647,DMSO,1,4,0.324090638
PHX2647,IVM,1,4,0.342887102
PHX2647,DMSO,3,4,0.293004587
PHX2647,IVM,3,4,0.001440196
PHX2647,DMSO,5,4,0.213662044
PHX2647,IVM,5,4,0.000831444
PHX2647,DMSO,7,4,0.151708808
PHX2647,IVM,7,4,0.000223998
PHX2647,DMSO,1,5,0.28708134
PHX2647,IVM,1,5,0.373900293
PHX2647,DMSO,3,5,0.113756614
PHX2647,IVM,3,5,0.00466003
PHX2647,DMSO,5,5,0.091057797
PHX2647,IVM,5,5,7.33E-05
PHX2647,DMSO,7,5,0.13463282
PHX2647,IVM,7,5,0
PHX2647,DMSO,1,6,0.446428571
PHX2647,IVM,1,6,0.392132608
PHX2647,DMSO,3,6,0.383080607
PHX2647,IVM,3,6,0.000569615
PHX2647,DMSO,5,6,0.296187683
PHX2647,IVM,5,6,0
PHX2647,DMSO,7,6,0.23219068
PHX2647,IVM,7,6,6.14E-05
PHX2647,DMSO,1,7,0.570648464
PHX2647,IVM,1,7,0.54853621
PHX2647,DMSO,3,7,0.474912485
PHX2647,IVM,3,7,7.56E-05
PHX2647,DMSO,5,7,0.430751174
PHX2647,IVM,5,7,0.001197195
PHX2647,DMSO,7,7,0.254362771
PHX2647,IVM,7,7,0.003567889
PHX2647,DMSO,1,8,0.574221977
PHX2647,IVM,1,8,0.586175534
PHX2647,DMSO,3,8,0.530139104
PHX2647,IVM,3,8,0.001933136
PHX2647,DMSO,5,8,0.345679012
PHX2647,IVM,5,8,0.000424899
PHX2647,DMSO,7,8,0.136756757
PHX2647,IVM,7,8,0
PHX2647,DMSO,1,9,0.509783184
PHX2647,IVM,1,9,0.313790256
PHX2647,DMSO,3,9,0.361795075
PHX2647,IVM,3,9,0.00320041
PHX2647,DMSO,5,9,0.224004583
PHX2647,IVM,5,9,0.000217644
PHX2647,DMSO,7,9,0.202691337
PHX2647,IVM,7,9,0
PHX2647,DMSO,1,10,NULL
PHX2647,IVM,1,10,0.3996633
PHX2647,DMSO,3,10,0.516903915
PHX2647,IVM,3,10,0.005184251
PHX2647,DMSO,5,10,0.449562414
PHX2647,IVM,5,10,0.001470156
PHX2647,DMSO,7,10,0.305402426
PHX2647,IVM,7,10,0.000604449